name,source_path,x0,x1,y0,y1
wall_path2_0159,path2,550,563,392,393
wall_path2_0160,path2,734,747,392,393
wall_path2_0161,path2,553,566,393,394
wall_path2_0162,path2,737,751,393,394
wall_path2_0163,path2,556,569,394,395
wall_path2_0164,path2,740,754,394,395
wall_path2_0165,path2,559,572,395,396
wall_path2_0166,path2,744,757,395,396
wall_path2_0167,path2,562,575,396,397
wall_path2_0168,path2,747,761,396,397
wall_path2_0169,path2,565,578,397,398
wall_path2_0170,path2,750,764,397,398
wall_path2_0171,path2,568,581,398,399
wall_path2_0172,path2,753,767,398,399
wall_path2_0173,path2,572,585,399,400
wall_path2_0174,path2,757,770,399,400
wall_path2_0175,path2,575,588,400,401
wall_path2_0176,path2,760,774,400,401
wall_path2_0177,path2,578,591,401,402
wall_path2_0178,path2,763,777,401,402
wall_path2_0179,path2,581,594,402,403
wall_path2_0180,path2,766,780,402,403
wall_path2_0181,path2,584,597,403,404
wall_path2_0182,path2,770,780,403,404
wall_path2_0183,path2,587,600,404,405
wall_path2_0184,path2,773,781,404,405
wall_path2_0185,path2,590,603,405,406
wall_path2_0186,path2,776,780,405,406
wall_path2_0187,path2,593,606,406,407
wall_path2_0188,path2,776,780,406,407
wall_path2_0189,path2,597,610,407,408
wall_path2_0190,path2,776,780,407,408
wall_path2_0191,path2,600,613,408,409
wall_path2_0192,path2,775,779,408,409
wall_path2_0193,path2,603,616,409,410
wall_path2_0194,path2,775,779,409,410
wall_path2_0195,path2,606,619,410,411
wall_path2_0196,path2,775,779,410,411
wall_path2_0197,path2,609,622,411,412
wall_path2_0198,path2,775,779,411,412
wall_path2_0199,path2,612,625,412,413
wall_path2_0200,path2,774,778,412,413
wall_path2_0201,path2,615,628,413,414
wall_path2_0202,path2,774,778,413,414
wall_path2_0203,path2,618,631,414,415
wall_path2_0204,path2,774,778,414,415
wall_path2_0205,path2,621,635,415,416
wall_path2_0206,path2,773,778,415,416
wall_path2_0207,path2,625,638,416,417
wall_path2_0208,path2,773,777,416,417
wall_path2_0209,path2,628,641,417,418
wall_path2_0210,path2,773,777,417,418
wall_path2_0211,path2,631,644,418,419
wall_path2_0212,path2,773,777,418,419
wall_path2_0213,path2,634,647,419,420
wall_path2_0214,path2,772,776,419,420
wall_path2_0215,path2,637,650,420,421
wall_path2_0216,path2,772,776,420,421
wall_path2_0217,path2,640,653,421,422
wall_path2_0218,path2,772,776,421,422
wall_path2_0219,path2,643,656,422,423
wall_path2_0220,path2,772,776,422,423
wall_path2_0221,path2,646,660,423,424
wall_path2_0222,path2,771,775,423,424
wall_path2_0223,path2,650,663,424,425
wall_path2_0224,path2,771,775,424,425
wall_path2_0225,path2,653,666,425,426
wall_path2_0226,path2,771,775,425,426
wall_path2_0227,path2,656,669,426,427
wall_path2_0228,path2,770,775,426,427
wall_path2_0229,path2,659,672,427,428
wall_path2_0230,path2,770,774,427,428
wall_path2_0231,path2,662,675,428,429
wall_path2_0232,path2,770,774,428,429
wall_path2_0233,path2,665,678,429,430
wall_path2_0234,path2,770,774,429,430
wall_path2_0235,path2,668,681,430,431
wall_path2_0236,path2,769,773,430,431
wall_path2_0237,path2,671,684,431,432
wall_path2_0238,path2,769,773,431,432
wall_path2_0239,path2,675,688,432,433
wall_path2_0240,path2,769,773,432,433
wall_path2_0241,path2,678,691,433,434
wall_path2_0242,path2,769,773,433,434
wall_path2_0243,path2,681,694,434,435
wall_path2_0244,path2,768,772,434,435
wall_path2_0245,path2,684,697,435,436
wall_path2_0246,path2,768,772,435,436
wall_path2_0247,path2,687,700,436,437
wall_path2_0248,path2,768,772,436,437
wall_path2_0249,path2,690,703,437,438
wall_path2_0250,path2,767,772,437,438
wall_path2_0251,path2,693,706,438,439
wall_path2_0252,path2,767,771,438,439
wall_path2_0253,path2,696,709,439,440
wall_path2_0254,path2,767,771,439,440
wall_path2_0255,path2,699,713,440,441
wall_path2_0256,path2,767,771,440,441
wall_path2_0257,path2,703,716,441,442
wall_path2_0258,path2,766,770,441,442
wall_path2_0259,path2,706,719,442,443
wall_path2_0260,path2,766,770,442,443
wall_path2_0261,path2,709,722,443,444
wall_path2_0262,path2,766,770,443,444
wall_path2_0263,path2,712,725,444,445
wall_path2_0264,path2,766,770,444,445
wall_path2_0265,path2,715,728,445,446
wall_path2_0266,path2,765,769,445,446
wall_path2_0267,path2,718,731,446,447
wall_path2_0268,path2,765,769,446,447
wall_path2_0269,path2,721,734,447,448
wall_path2_0270,path2,765,769,447,448
wall_path2_0271,path2,724,738,448,449
wall_path2_0272,path2,764,769,448,449
wall_path2_0273,path2,728,741,449,450
wall_path2_0274,path2,764,768,449,450
wall_path2_0275,path2,731,744,450,451
wall_path2_0276,path2,764,768,450,451
wall_path2_0277,path2,734,747,451,452
wall_path2_0278,path2,764,768,451,452
wall_path2_0279,path2,737,750,452,453
wall_path2_0280,path2,763,767,452,453
wall_path2_0281,path2,740,753,453,454
wall_path2_0282,path2,763,767,453,454
wall_path2_0283,path2,743,756,454,455
wall_path2_0284,path2,763,767,454,455
wall_path2_0285,path2,746,759,455,456
wall_path2_0286,path2,763,767,455,456
wall_path2_0287,path2,749,766,456,457
wall_path2_0288,path2,753,766,457,458
wall_path2_0289,path2,756,766,458,459
wall_path2_0290,path2,759,766,459,460
wall_path2_0291,path2,762,765,460,461
wall_path3_0000,path3,1047,1064,448,449
wall_path3_0001,path3,1046,1064,449,450
wall_path3_0002,path3,1046,1049,450,451
wall_path3_0003,path3,1061,1064,450,451
wall_path3_0004,path3,1046,1049,451,452
wall_path3_0005,path3,1061,1064,451,452
wall_path3_0006,path3,1046,1049,452,453
wall_path3_0007,path3,1061,1064,452,453
wall_path3_0008,path3,1046,1049,453,454
wall_path3_0009,path3,1061,1064,453,454
wall_path3_0010,path3,1046,1049,454,455
wall_path3_0011,path3,1060,1064,454,455
wall_path3_0012,path3,1045,1048,455,456
wall_path3_0013,path3,1060,1063,455,456
wall_path3_0014,path3,1045,1048,456,457
wall_path3_0015,path3,1060,1063,456,457
wall_path3_0016,path3,1045,1048,457,458
wall_path3_0017,path3,1060,1063,457,458
wall_path3_0018,path3,1045,1048,458,459
wall_path3_0019,path3,1060,1063,458,459
wall_path3_0020,path3,1045,1048,459,460
wall_path3_0021,path3,1060,1063,459,460
wall_path3_0022,path3,1045,1048,460,461
wall_path3_0023,path3,1059,1063,460,461
wall_path3_0024,path3,1044,1047,461,462
wall_path3_0025,path3,1059,1062,461,462
wall_path3_0026,path3,963,964,462,463
wall_path3_0027,path3,1044,1047,462,463
wall_path3_0028,path3,1059,1062,462,463
wall_path3_0029,path3,962,969,463,464
wall_path3_0030,path3,1044,1047,463,464
wall_path3_0031,path3,1059,1062,463,464
wall_path3_0032,path3,962,974,464,465
wall_path3_0033,path3,1044,1047,464,465
wall_path3_0034,path3,1059,1062,464,465
wall_path3_0035,path3,963,980,465,466
wall_path3_0036,path3,1044,1047,465,466
wall_path3_0037,path3,1059,1062,465,466
wall_path3_0038,path3,969,985,466,467
wall_path3_0039,path3,1044,1047,466,467
wall_path3_0040,path3,1058,1062,466,467
wall_path3_0041,path3,974,990,467,468
wall_path3_0042,path3,1043,1046,467,468
wall_path3_0043,path3,1058,1061,467,468
wall_path3_0044,path3,979,996,468,469
wall_path3_0045,path3,1043,1046,468,469
wall_path3_0046,path3,1058,1061,468,469
wall_path3_0047,path3,985,1001,469,470
wall_path3_0048,path3,1043,1046,469,470
wall_path3_0049,path3,1058,1061,469,470
wall_path3_0050,path3,990,1006,470,471
wall_path3_0051,path3,1043,1046,470,471
wall_path3_0052,path3,1058,1061,470,471
wall_path3_0053,path3,995,1012,471,472
wall_path3_0054,path3,1043,1046,471,472
wall_path3_0055,path3,1058,1061,471,472
wall_path3_0056,path3,1001,1017,472,473
wall_path3_0057,path3,1043,1046,472,473
wall_path3_0058,path3,1057,1061,472,473
wall_path3_0059,path3,1006,1022,473,474
wall_path3_0060,path3,1042,1045,473,474
wall_path3_0061,path3,1057,1060,473,474
wall_path3_0062,path3,1011,1028,474,475
wall_path3_0063,path3,1042,1045,474,475
wall_path3_0064,path3,1057,1060,474,475
wall_path3_0065,path3,1017,1033,475,476
wall_path3_0066,path3,1042,1045,475,476
wall_path3_0067,path3,1057,1060,475,476
wall_path3_0068,path3,1022,1038,476,477
wall_path3_0069,path3,1042,1045,476,477
wall_path3_0070,path3,1057,1060,476,477
wall_path3_0071,path3,1027,1045,477,478
wall_path3_0072,path3,1057,1060,477,478
wall_path3_0073,path3,1033,1045,478,479
wall_path3_0074,path3,1056,1064,478,479
